1958,3,
1959,1,
1960,2,
1961,3,
1962,2,
1963,3,
1964,2,
1965,1,
1966,3,
1967,1,
1968,3,
1969,3,
1970,4,
1971,3,
1972,5,5
1973,4,3
1974,3,4
1975,6,2
1976,9,3
1977,4,2
1978,2,1
1979,5,2
1980,4,3
1981,2,2
1982,3,2
1983,3,3
1984,8,2
1985,6,14
1986,8,17
1987,14,26
1988,13,12
1989,15,28
1990,20,25
1991,36,30
1992,35,28
1993,29,38
1994,25,29
1995,12,49
1996,20,37
1997,15,13
1998,21,18
1999,26,7
2000,19,19
2001,16,23
2002,15,21
2003,17,25
2004,17,30
2005,12,52
2006,11,50
2007,18,48
2008,19,27
2009,22,39
2010,19,71
2011,21,66
